post_id,treatment,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28
vp0qih,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qim,1,,,2,11,11,11,10,9,9,,,,,,,,,,,,,,,,,,,,,
vp0qin,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qis,1,,,2,13,13,15,14,14,14,,,,,,,,,,,,,,,,,,,,,
vp0qit,1,,,2,21,23,21,21,24,20,,,,,,,,,,,,,,,,,,,,,
vp0qiu,0,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qiy,1,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qj0,1,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
vp0qj1,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qj2,1,,,5,149,151,151,151,149,154,,,,,,,,,,,,,,,,,,,,,
vp0qj4,0,,,1,32,37,39,40,43,41,,,,,,,,,,,,,,,,,,,,,
vp0qja,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qjc,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qjf,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qjh,0,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qji,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qjj,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qjk,1,,,2,4,5,4,6,5,5,,,,,,,,,,,,,,,,,,,,,
vp0qjl,0,,,0,2,3,2,1,1,2,,,,,,,,,,,,,,,,,,,,,
vp0qjm,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qjn,0,,,1,16,18,18,17,19,18,,,,,,,,,,,,,,,,,,,,,
vp0qjp,0,,,1,43,43,46,50,45,48,,,,,,,,,,,,,,,,,,,,,
vp0qjs,0,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qjt,1,,,2,6,7,7,8,5,7,,,,,,,,,,,,,,,,,,,,,
vp0qjv,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qjw,0,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qjz,0,,,1,2,7,7,8,8,8,,,,,,,,,,,,,,,,,,,,,
vp0qk3,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qk4,1,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qk6,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qk7,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qk9,1,,,2,16,15,15,16,16,18,,,,,,,,,,,,,,,,,,,,,
vp0qkb,0,,,2,24,29,28,28,29,28,,,,,,,,,,,,,,,,,,,,,
vp0qkf,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qkj,1,,,2,5,5,4,5,3,4,,,,,,,,,,,,,,,,,,,,,
vp0qkm,0,,,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
vp0qkr,-1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qks,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qkt,1,,,3,1084,1076,1077,1082,1083,1082,,,,,,,,,,,,,,,,,,,,,
vp0qkw,0,,,1,5,6,5,8,7,7,,,,,,,,,,,,,,,,,,,,,
vp0qkx,1,,,0,789,805,808,813,815,809,,,,,,,,,,,,,,,,,,,,,
vp0ql2,0,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0ql3,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0ql4,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qlc,0,,,1,1,2,2,3,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qle,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qlf,0,,,1,6,5,4,5,5,4,,,,,,,,,,,,,,,,,,,,,
vp0qlh,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qli,1,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qll,0,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qlm,0,,,2,118,122,127,129,132,134,,,,,,,,,,,,,,,,,,,,,
vp0qlo,1,,,3,105,102,106,106,105,109,,,,,,,,,,,,,,,,,,,,,
vp0qlx,1,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qly,1,,,2,2,2,17,17,18,18,,,,,,,,,,,,,,,,,,,,,
vp0qlz,0,,,1,7,7,7,8,6,7,,,,,,,,,,,,,,,,,,,,,
vp0qm2,1,,,14,1694,1694,1694,1696,1696,1689,,,,,,,,,,,,,,,,,,,,,
vp0qm7,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qmb,0,,,0,2,3,2,2,2,3,,,,,,,,,,,,,,,,,,,,,
vp0qmg,1,,,3,19,40,49,49,56,58,,,,,,,,,,,,,,,,,,,,,
vp0qmh,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qml,0,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vpropj,1,,,,2,20,22,23,24,23,23.0,,,,,,,,,,,,,,,,,,,,
vpropk,0,,,,2,188,197,197,194,197,202.0,,,,,,,,,,,,,,,,,,,,
vpropo,1,,,,2,3,5,5,5,6,6.0,,,,,,,,,,,,,,,,,,,,
vpropr,1,,,,2,17,20,20,21,20,21.0,,,,,,,,,,,,,,,,,,,,
vpropv,1,,,,4,8,8,7,7,8,7.0,,,,,,,,,,,,,,,,,,,,
vpropw,0,,,,1,21,29,35,35,37,38.0,,,,,,,,,,,,,,,,,,,,
vproq0,1,,,,2,134,143,152,155,155,156.0,,,,,,,,,,,,,,,,,,,,
vproq1,1,,,,2,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,,
vproq2,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproqa,0,,,,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
vproqb,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
vproqk,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproql,0,,,,3,15,18,17,18,18,18,,,,,,,,,,,,,,,,,,,,
vproqm,1,,,,2,11,11,9,10,12,11,,,,,,,,,,,,,,,,,,,,
vproqn,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vproqq,0,,,,2,8,7,7,7,7,8,,,,,,,,,,,,,,,,,,,,
vproqs,1,,,,2,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,
vproqt,1,,,,2,2,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,,
vproqy,0,,,,1,6,4,4,6,4,5,,,,,,,,,,,,,,,,,,,,
vpror0,1,,,,2,21,21,21,23,23,22,,,,,,,,,,,,,,,,,,,,
vpror1,0,,,,1,7,6,7,6,5,5,,,,,,,,,,,,,,,,,,,,
vpror3,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vpror4,1,,,,2,2,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,,
vpror5,0,,,,1,3,4,4,5,4,3,,,,,,,,,,,,,,,,,,,,
vpror7,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vpror8,1,,,,3,105,108,108,107,108,109,,,,,,,,,,,,,,,,,,,,
vpror9,1,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprorc,0,,,,1,1,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,,
vprord,0,,,,1,8,7,6,6,8,8,,,,,,,,,,,,,,,,,,,,
vprorg,1,,,,2,138,140,138,143,142,139,,,,,,,,,,,,,,,,,,,,
vprork,1,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprorn,0,,,,1,48,52,56,55,58,58,,,,,,,,,,,,,,,,,,,,
